[Rank 4] (after 2 iterations) memory (MB) | max allocated: 1360.4
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 1376.3
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1260.4
[Rank 3] (after 1 iterations) memory (MB) | max allocated: 1260.4
[Rank 5] (after 1 iterations) memory (MB) | max allocated: 1272.3
[Rank 7] (after 1 iterations) memory (MB) | max allocated: 1516.8
[Rank 4] (after 1 iterations) memory (MB) | max allocated: 1264.3
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 1260.4
[Rank 6] (after 1 iterations) memory (MB) | max allocated: 1280.2
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 1330.9

[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1356.5
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 1356.5
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 1427.0
[Rank 7] (after 2 iterations) memory (MB) | max allocated: 1613.0
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 1376.3
[Rank 4] (after 2 iterations) memory (MB) | max allocated: 1360.4
[Rank 5] (after 2 iterations) memory (MB) | max allocated: 1368.4
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 1356.5
[Rank 7] (after 1 iterations) memory (MB) | max allocated: 1516.8
[Rank 5] (after 1 iterations) memory (MB) | max allocated: 1272.3
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1260.4
[Rank 4] (after 1 iterations) memory (MB) | max allocated: 1264.3
[Rank 3] (after 1 iterations) memory (MB) | max allocated: 1260.4
[Rank 6] (after 1 iterations) memory (MB) | max allocated: 1280.2
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 1330.9
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 1260.4
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 1356.5
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 1427.0
[Rank 4] (after 2 iterations) memory (MB) | max allocated: 1360.4
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1356.5
[Rank 7] (after 2 iterations) memory (MB) | max allocated: 1613.0
[Rank 5] (after 2 iterations) memory (MB) | max allocated: 1368.4
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 1356.5
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 1376.3
[Rank 3] (after 1 iterations) memory (MB) | max allocated: 1832.4
[Rank 7] (after 1 iterations) memory (MB) | max allocated: 2092.8
[Rank 4] (after 1 iterations) memory (MB) | max allocated: 1840.3
[Rank 6] (after 1 iterations) memory (MB) | max allocated: 1856.2
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 1824.5
[Rank 5] (after 1 iterations) memory (MB) | max allocated: 1848.3
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 1818.1
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1816.5

[Rank 2] (after 2 iterations) memory (MB) | max allocated: 1920.6
[Rank 5] (after 2 iterations) memory (MB) | max allocated: 1944.4
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 1952.3
[Rank 7] (after 2 iterations) memory (MB) | max allocated: 2189.0

[Rank 0] (after 2 iterations) memory (MB) | max allocated: 1914.2
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 1928.5
[Rank 4] (after 2 iterations) memory (MB) | max allocated: 1936.4
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1912.6

[Rank 5] (after 1 iterations) memory (MB) | max allocated: 1280.2
[Rank 4] (after 1 iterations) memory (MB) | max allocated: 1276.2
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 1330.9
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 1268.3
[Rank 7] (after 1 iterations) memory (MB) | max allocated: 1516.8
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1264.3
[Rank 6] (after 1 iterations) memory (MB) | max allocated: 1284.2
[Rank 3] (after 1 iterations) memory (MB) | max allocated: 1272.3

[Rank 5] (after 2 iterations) memory (MB) | max allocated: 1376.3
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 1427.0
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 1364.4
[Rank 4] (after 2 iterations) memory (MB) | max allocated: 1372.3
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 1368.4
[Rank 7] (after 2 iterations) memory (MB) | max allocated: 1613.0
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 1380.3
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1360.4
[Rank 3] (after 1 iterations) memory (MB) | max allocated: 1012.3
[Rank 6] (after 1 iterations) memory (MB) | max allocated: 808.2
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1148.3
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 1282.9
[Rank 5] (after 1 iterations) memory (MB) | max allocated: 876.2
[Rank 4] (after 1 iterations) memory (MB) | max allocated: 944.2
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 1080.3
[Rank 7] (after 1 iterations) memory (MB) | max allocated: 1020.8

[Rank 7] (after 2 iterations) memory (MB) | max allocated: 1117.0
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1244.4
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 904.3
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 1379.0
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 1108.4
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 1176.4
[Rank 5] (after 2 iterations) memory (MB) | max allocated: 972.3
[Rank 4] (after 2 iterations) memory (MB) | max allocated: 1040.3
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 2228.9
[Rank 4] (after 1 iterations) memory (MB) | max allocated: 1828.7
[Rank 7] (after 1 iterations) memory (MB) | max allocated: 1681.2
[Rank 5] (after 1 iterations) memory (MB) | max allocated: 1692.7
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2447.5
[Rank 6] (after 1 iterations) memory (MB) | max allocated: 1556.6
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 2092.8
[Rank 3] (after 1 iterations) memory (MB) | max allocated: 1956.8
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 2421.1
[Rank 7] (after 2 iterations) memory (MB) | max allocated: 1873.4
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2639.7
[Rank 5] (after 2 iterations) memory (MB) | max allocated: 1884.9
[Rank 6] (after 2 iterations) memory (MB) | max allocated: 1748.8
[Rank 3] (after 2 iterations) memory (MB) | max allocated: 2149.0
[Rank 4] (after 2 iterations) memory (MB) | max allocated: 2020.9
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 2285.0
